Model,Target,Class,Support (n),Precision,Recall (Sensitivity),Specificity,F1,Overall Accuracy,Accuracy 95% CI,N Matched Records
Gemini-2.5-flash-lite (Chain-of-Thought),HER2,negative,221,0.92,0.941,0.94,0.931,0.9194,"[0.894, 0.942]",521
Gemini-2.5-flash-lite (Chain-of-Thought),HER2,not reported,251,0.96,0.948,0.963,0.954,0.9194,"[0.894, 0.942]",521
Gemini-2.5-flash-lite (Chain-of-Thought),HER2,positive,49,0.868,0.673,0.989,0.759,0.9194,"[0.894, 0.942]",521
Gemini-2.5-flash-lite (Chain-of-Thought),ER,negative,67,0.894,0.881,0.985,0.887,0.952,"[0.933, 0.969]",521
Gemini-2.5-flash-lite (Chain-of-Thought),ER,not reported,240,0.971,0.967,0.975,0.969,0.952,"[0.933, 0.969]",521
Gemini-2.5-flash-lite (Chain-of-Thought),ER,positive,214,0.949,0.958,0.964,0.953,0.952,"[0.933, 0.969]",521
Gemini-2.5-flash-lite (Chain-of-Thought),PR,negative,106,0.933,0.915,0.983,0.924,0.952,"[0.933, 0.969]",521
Gemini-2.5-flash-lite (Chain-of-Thought),PR,not reported,240,0.975,0.967,0.979,0.971,0.952,"[0.933, 0.969]",521
Gemini-2.5-flash-lite (Chain-of-Thought),PR,positive,175,0.933,0.954,0.965,0.944,0.952,"[0.933, 0.969]",521
Gemini-2.5-flash-lite (Chain-of-Thought),Tumor Size,2-5 cm,288,0.896,0.872,0.876,0.884,0.8119,"[0.779, 0.845]",521
Gemini-2.5-flash-lite (Chain-of-Thought),Tumor Size,< 2 cm,99,0.827,0.869,0.957,0.847,0.8119,"[0.779, 0.845]",521
Gemini-2.5-flash-lite (Chain-of-Thought),Tumor Size,> 5 cm,62,0.785,0.823,0.969,0.803,0.8119,"[0.779, 0.845]",521
Gemini-2.5-flash-lite (Chain-of-Thought),Tumor Size,not reported,72,0.486,0.486,0.918,0.486,0.8119,"[0.779, 0.845]",521
